Designator,Quantity,Value,Footprint,Manufacturer,Manufacturer Part Number,Type,Distributor,Distributor Part Number
"C1, C3",2,4.7uF,C_0402_1005Metric,Samsung Electro-Mechanics,CL05A475KP5NRNC,SMD,LCSC,C368809
"C10, C11, C14, C22, C23, C24, C5, C6, C7, C8",10,100nF,C_0402_1005Metric,Samsung Electro-Mechanics,CL05B104KO5NNNC,SMD,LCSC,C1525
"C12, C13, C15, C19, C2, C4",6,1uF,C_0402_1005Metric,Samsung Electro-Mechanics,CL05A105KO5NNNC,SMD,LCSC,C47339
C16,1,470uF,CAPPM7362X200N,KYOCERA AVX,TCJ5477M016R0100E,SMD,Mouser,581-TCJ5477M016R100E
C17,1,10uF,C_0603_1608Metric,Samsung Electro-Mechanics,CL10A106KO8NQNC,SMD,LCSC,C962136
"C18, C20",2,DNP,C_0603_1608Metric,-,-,SMD,-,-
C21,1,22uF,C_1206_3216Metric,Chinocera,HGC1206R7226K160NSPJ,SMD,LCSC,C7472972
C9,1,470nF,C_0402_1005Metric,Samsung Electro-Mechanics,CL05A474KP5NNNC,SMD,LCSC,C47339
E1,1,ANT-915-USP410,XDCR_ANT-915-USP410,Linx Technologies Inc.,ANT-915-uSP410,SMD,Mouser,712-ANT-915-USP410
J1,1,Conn_01x02,Battery_Pad,-,-,SMD,-,-
"L1, L3, L4",3,120,L_0603_1608Metric,Sunlord,MZAS1608G121-1R3TF,SMD,LCSC,C709642
L2,1,15uH,L_0805_2012Metric,TDK,MLZ2012M150WT000,SMD,LCSC,C383402
L5,1,15uH,74404042150,Wurth Elektronik,74404042150,SMD,Mouser,710-74404042150
L6,1,0,L_0603_1608Metric,-,-,SMD,-,-
Q1,1,PMV32UP,SOT-23,TECH PUBLIC,PMV32UP,SMD,LCSC,C2959851
"R1, R2",2,4.7K,R_0402_1005Metric,YAGEO,RC0402FR-074K7L,SMD,LCSC,C105871
R10,1,1M,R_0402_1005Metric,YAGEO,RC0402FR-071ML,SMD,LCSC,C138033
"R11, R12, R3, R4",4,10K,R_0402_1005Metric,YAGEO,RC0402FR-0710KL,SMD,LCSC,C60490
"R5, R6",2,100K,R_0402_1005Metric,YAGEO,RC0402FR-07100KL,SMD,LCSC,C60491
"R7, R8",2,1K,R_0402_1005Metric,YAGEO,RC0402FR-071KL,SMD,LCSC,C106235
R9,1,16.9K,R_0402_1005Metric,YAGEO,RC0402FR-0716K9L,SMD,LCSC,C163488
TP1,1,RX2,TestPoint_Pad_D1.0mm,-,-,SMD,-,-
TP2,1,TX2,TestPoint_Pad_D1.0mm,-,-,SMD,-,-
TP3,1,SWCLK,TestPoint_Pad_D1.0mm,-,-,SMD,-,-
TP4,1,SWDIO,TestPoint_Pad_D1.0mm,-,-,SMD,-,-
TP5,1,RST,TestPoint_Pad_D1.0mm,-,-,SMD,-,-
TP6,1,BOOT,TestPoint_Pad_D1.0mm,-,-,SMD,-,-
TP7,1,DLY_MDRV,TestPoint_Pad_D1.0mm,-,-,SMD,-,-
TP8,1,3V0,TestPoint_Pad_D1.0mm,-,-,SMD,-,-
TP9,1,GND,TestPoint_Pad_D1.0mm,-,-,SMD,-,-
U1,1,RAK3172-SIP,RAK3172-SiP_LGA75,RAKwireless, RAK3172-SIP,SMD,RAKwireless,306039
U2,1,NBM7100ABQX,NBM7100ABQX,Nexperia,NBM7100ABQX,SMD,Mouser,771-NBM7100ABQX
U3,1,ZD24C16A,SOT-23-5,Zetta,ZD24C08A-STGMT,SMD,LCSC,C2896640
U4,1,BME688,BME680-PSON80P300X300X100-8N,Bosch Sensortec,BME688,SMD,LCSC,C3664478
U5,1,TPL5110DDCT,SOT95P280X110-6N,Texas Instruments,TPL5110DDCT,SMD,LCSC,C125830
