Designator,Mid X,Mid Y,Rotation,Layer
C1,135.11,-106.98,90.0,top
C10,134.55,-109.97,0.0,top
C11,143.07,-100.05,180.0,bottom
C12,145.37,-101.79,90.0,bottom
C13,147.25,-100.4,0.0,bottom
C14,151.14,-104.61,270.0,top
C15,138.25,-111.0,270.0,bottom
C16,139.92,-105.8,0.0,bottom
C17,143.28,-109.79,180.0,bottom
C18,151.39,-110.13,90.0,top
C19,143.84,-116.91,270.0,bottom
C2,136.62,-106.97,90.0,top
C20,155.84,-110.13,90.0,top
C21,149.75,-116.45,90.0,bottom
C22,129.65,-102.6,270.0,top
C23,129.65,-104.74,90.0,top
C24,136.26,-119.87,90.0,bottom
C3,133.72,-108.9,180.0,bottom
C4,133.35,-108.83,0.0,top
C5,136.41,-110.57,90.0,top
C6,136.63,-105.02,90.0,top
C7,133.72,-107.7,180.0,bottom
C8,133.35,-107.63,0.0,top
C9,135.77,-108.85,0.0,top
E1,163.03,-114.43,270.0,top
J1,130.11,-118.27,270.0,bottom
L1,134.12,-111.48,0.0,top
L2,135.3,-113.4,0.0,top
L3,143.0825,-101.67,0.0,bottom
L4,147.06,-102.6175,270.0,bottom
L5,147.0,-110.687701,90.0,bottom
L6,153.63,-109.36,0.0,top
Q1,146.25,-116.237301,90.0,bottom
R1,133.27,-100.74,180.0,top
R10,142.78,-118.89,180.0,bottom
R11,131.05,-100.95,0.0,top
R12,136.54,-101.26,270.0,top
R2,135.05,-101.23,270.0,top
R3,151.61,-106.31,180.0,top
R4,152.51,-104.61,270.0,top
R5,137.68,-114.6,0.0,bottom
R6,137.67,-113.53,180.0,bottom
R7,142.17,-116.43,0.0,bottom
R8,140.06,-116.42,180.0,bottom
R9,135.79,-118.21,0.0,bottom
U1,143.7,-107.33,0.0,top
U2,141.25,-112.737301,90.0,bottom
U3,132.55,-103.4,0.0,bottom
U4,132.25,-103.94,0.0,top
U5,139.255,-119.23,180.0,bottom
