Designator,Pos_X,Pos_Y,Rotation,Side,MPN,Footprint,Value,Mount_Type,Place
C1,135.11,-106.98,90,top,CL05A475KP5NRNC,C_0402_1005Metric,4.7uF,smt,TRUE
C10,134.55,-109.97,0,top,CL05B104KO5NNNC,C_0402_1005Metric,100nF,smt,TRUE
C11,143.07,-100.05,0,bottom,CL05B104KO5NNNC,C_0402_1005Metric,100nF,smt,TRUE
C12,145.37,-101.79,90,bottom,CL05A105KO5NNNC,C_0402_1005Metric,1uF,smt,TRUE
C13,147.25,-100.4,180,bottom,CL05A105KO5NNNC,C_0402_1005Metric,1uF,smt,TRUE
C14,151.14,-104.61,-90,top,CL05B104KO5NNNC,C_0402_1005Metric,100nF,smt,TRUE
C15,138.25,-111,-90,bottom,CL05A105KO5NNNC,C_0402_1005Metric,1uF,smt,TRUE
C16,139.92,-105.8,180,bottom,TCJ5477M016R0100E,CAPPM7362X200N,470uF,smt,TRUE
C17,143.28,-109.79,0,bottom,CL10A106KO8NQNC,C_0603_1608Metric,10uF,smt,TRUE
C18,151.39,-110.13,90,top,,C_0603_1608Metric,DNP,smt,TRUE
C19,143.84,-116.91,-90,bottom,CL05A105KO5NNNC,C_0402_1005Metric,1uF,smt,TRUE
C2,136.62,-106.97,90,top,CL05A105KO5NNNC,C_0402_1005Metric,1uF,smt,TRUE
C20,155.84,-110.13,90,top,,C_0603_1608Metric,DNP,smt,TRUE
C21,149.75,-116.45,90,bottom,HGC1206R7226K160NSPJ,C_1206_3216Metric,22uF,smt,TRUE
C22,129.65,-102.6,-90,top,CL05B104KO5NNNC,C_0402_1005Metric,100nF,smt,TRUE
C23,129.65,-104.74,90,top,CL05B104KO5NNNC,C_0402_1005Metric,100nF,smt,TRUE
C24,136.26,-119.87,90,bottom,CL05B104KO5NNNC,C_0402_1005Metric,100nF,smt,TRUE
C3,133.72,-108.9,0,bottom,CL05A475KP5NRNC,C_0402_1005Metric,4.7uF,smt,TRUE
C4,133.35,-108.83,0,top,CL05A105KO5NNNC,C_0402_1005Metric,1uF,smt,TRUE
C5,136.41,-110.57,90,top,CL05B104KO5NNNC,C_0402_1005Metric,100nF,smt,TRUE
C6,136.63,-105.02,90,top,CL05B104KO5NNNC,C_0402_1005Metric,100nF,smt,TRUE
C7,133.72,-107.7,0,bottom,CL05B104KO5NNNC,C_0402_1005Metric,100nF,smt,TRUE
C8,133.35,-107.63,0,top,CL05B104KO5NNNC,C_0402_1005Metric,100nF,smt,TRUE
C9,135.77,-108.85,0,top,CL05A474KP5NNNC,C_0402_1005Metric,470nF,smt,TRUE
E1,163.03,-114.43,-90,top,ANT-915-uSP410,XDCR_ANT-915-USP410,ANT-915-USP410,smt,TRUE
J1,130.11,-118.27,-90,bottom,,Battery_Pad,Conn_01x02,smt,TRUE
L1,134.12,-111.48,0,top,MZAS1608G121-1R3TF,L_0603_1608Metric,120,smt,TRUE
L2,135.3,-113.4,0,top,MLZ2012M150WT000,L_0805_2012Metric,15uH,smt,TRUE
