pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
135.11,-106.98,90.0,top,C1,CL05A475KP5NRNC,C_0402_1005Metric,4.7uF,smt,True
134.55,-109.97,0.0,top,C10,CL05B104KO5NNNC,C_0402_1005Metric,100nF,smt,True
143.07,-100.05,0.0,bottom,C11,CL05B104KO5NNNC,C_0402_1005Metric,100nF,smt,True
145.37,-101.79,90.0,bottom,C12,CL05A105KO5NNNC,C_0402_1005Metric,1uF,smt,True
147.25,-100.4,180.0,bottom,C13,CL05A105KO5NNNC,C_0402_1005Metric,1uF,smt,True
151.14,-104.61,-90.0,top,C14,CL05B104KO5NNNC,C_0402_1005Metric,100nF,smt,True
138.25,-111.0,-90.0,bottom,C15,CL05A105KO5NNNC,C_0402_1005Metric,1uF,smt,True
139.92,-105.8,180.0,bottom,C16,TCJ5477M016R0100E,CAPPM7362X200N,470uF,smt,True
143.28,-109.79,0.0,bottom,C17,CL10A106KO8NQNC,C_0603_1608Metric,10uF,smt,True
151.39,-110.13,90.0,top,C18,,C_0603_1608Metric,DNP,smt,True
143.84,-116.91,-90.0,bottom,C19,CL05A105KO5NNNC,C_0402_1005Metric,1uF,smt,True
136.62,-106.97,90.0,top,C2,CL05A105KO5NNNC,C_0402_1005Metric,1uF,smt,True
155.84,-110.13,90.0,top,C20,,C_0603_1608Metric,DNP,smt,True
149.75,-116.45,90.0,bottom,C21,HGC1206R7226K160NSPJ,C_1206_3216Metric,22uF,smt,True
129.65,-102.6,-90.0,top,C22,CL05B104KO5NNNC,C_0402_1005Metric,100nF,smt,True
129.65,-104.74,90.0,top,C23,CL05B104KO5NNNC,C_0402_1005Metric,100nF,smt,True
136.26,-119.87,90.0,bottom,C24,CL05B104KO5NNNC,C_0402_1005Metric,100nF,smt,True
133.72,-108.9,0.0,bottom,C3,CL05A475KP5NRNC,C_0402_1005Metric,4.7uF,smt,True
133.35,-108.83,0.0,top,C4,CL05A105KO5NNNC,C_0402_1005Metric,1uF,smt,True
136.41,-110.57,90.0,top,C5,CL05B104KO5NNNC,C_0402_1005Metric,100nF,smt,True
136.63,-105.02,90.0,top,C6,CL05B104KO5NNNC,C_0402_1005Metric,100nF,smt,True
133.72,-107.7,0.0,bottom,C7,CL05B104KO5NNNC,C_0402_1005Metric,100nF,smt,True
133.35,-107.63,0.0,top,C8,CL05B104KO5NNNC,C_0402_1005Metric,100nF,smt,True
