Item,Designator,Qty,Manufacturer,Manufacturer Part Number,Value,Part Description,Footprint,Type,Distributor,Distributor Part Number,Distributor Link,Datasheet
1,"BT1, BT2",2,MYOUNG,MY-2032-12,MY-2032-12,Battery button -25℃~+85℃ CR2032,MY-2032-12,SMD,LCSC,C964833,https://www.lcsc.com/product-detail/Battery-Connectors_MYOUNG-MY-2032-12_C964833.html,https://datasheet.lcsc.com/lcsc/2012181809_MYOUNG-MY-2032-12_C964833.pdf
2,"C1, C3, C4",3,Samsung Electro-Mechanics,CL05A475KP5NRNC,4u7,Ceramic Capacitors 10V 4.7uF X5R ±10%,0402_1005Metric,SMD,LCSC,C368809,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL05A475KP5NRNC_C368809.html,https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL05A475KP5NRNC_C368809.pdf
3,"C2, C12, C13, C15, C19, C25",6,Samsung Electro-Mechanics,CL05A105KO5NNNC,1u,Ceramic Capacitors 16V 1uF X5R ±10%,0402_1005Metric,SMD,LCSC,C29266,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL05A105KO5NNNC_C29266.html,https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL05A105KO5NNNC_C29266.pdf
4,"C5, C6, C7, C8, C10, C11, C14, C22, C23, C24",10,Samsung Electro-Mechanics,CL05B104KO5NNNC,100n,Ceramic Capacitor 100nF 10% 16V X7R,0402_1005Metric,SMD,LCSC,C1525,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL05B104KO5NNNC_C1525.html,https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL05B104KO5NNNC_C1525.pdf
5,C9,1,Samsung Electro-Mechanics,CL05A474KP5NNNC,470n,Ceramic Capacitors 10V 470nF X5R ±10%,0402_1005Metric,SMD,LCSC,C47339,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL05A474KP5NNNC_C47339.html,https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL05A474KP5NNNC_C47339.pdf
6,C16,1,KYOCERA AVX,TCJ5477M016R0100E,470u,Tantalum Polymer Capacitor 470 µF 16V 100mOhm @ 100kHz,7343-40,SMD,Digikey,478-13191-1-ND,https://www.digikey.com/en/products/detail/kyocera-avx/TCJ5477M016R0100E/10062646,https://datasheets.kyocera-avx.com/TCJ.pdf
7,C17,1,Samsung Electro-Mechanics,CL10A106KO8NQNC,10u,Ceramic Capacitors 16V 10uF X5R ±10%,0603_1608Metric,SMD,LCSC,C962136,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL10A106KO8NQNC_C962136.html,https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL10A106KO8NQNC_C962136.pdf
8,C21,1,Chinocera,HGC1206R7226K160NSPJ,22u,Ceramic Capacitors 16V 22uF X7R ±10%,1206_3216Metric,SMD,LCSC,C7472972,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Chinocera-HGC1206R7226K160NSPJ_C7472972.html,https://datasheet.lcsc.com/lcsc/2308041038_Chinocera-HGC1206R7226K160NSPJ_C7472972.pdf
9,E1,1,TE Connectivity Linx,ANT-915-USP410,ANT-915-USP410,"915MHz ISM, LoRaWAN, LPWA, Sigfox Chip RF Antenna 902MHz ~ 930MHz 0.9dBi Solder Surface Mount",ANT-915-USP410,SMD,Digikey,343-ANT-915-USP410CT-ND,https://www.digikey.com/en/products/detail/te-connectivity-linx/ANT-915-USP410/13165344,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=ant-915-usp410-ds&DocType=Data+Sheet&DocLang=English&DocFormat=pdf&PartCntxt=ANT-915-USP410
10,"L1, L3, L4",3,Murata Electronics,BLM15PD121SN1D,120,Ferrite Beads 90mΩ ±25% 120Ω@100MHz,0402_1005Metric,SMD,LCSC,C76891,https://www.lcsc.com/product-detail/Ferrite-Beads_Murata-Electronics-BLM15PD121SN1D_C76891.html,https://datasheet.lcsc.com/lcsc/2304140030_Murata-Electronics-BLM15PD121SN1D_C76891.pdf
