Designator,Mid X,Mid Y,Rotation,Layer
BT1,115.95,-110.67,90,bottom
BT2,115.94,-110.71,270,top
C1,134.010847,-103.214,90,top
C10,132.780847,-110.374,0,top
C11,142.141847,-101.458,90,bottom
C12,143.581847,-101.378,180,bottom
C13,146.01,-101.84,90,bottom
C14,149.681847,-104.638,270,top
C15,136.981847,-111.028,270,bottom
C16,138.459347,-106.718,0,bottom
C17,142.041847,-109.908,0,bottom
C18,149.931847,-110.158,90,top
C19,141.961847,-115.558,90,bottom
C2,134.550847,-104.644,0,top
C20,154.381847,-110.158,90,top
C21,144.776847,-117.628,0,bottom
C22,130.661847,-106.008,0,top
C23,129.231847,-106.458,90,top
C24,143.871847,-108.208,270,bottom
C25,130.361847,-105.648,0,bottom
C3,134.010847,-106.074,90,top
C4,134.990847,-107.954,90,top
C5,135.471847,-110.198,90,bottom
C6,135.000847,-103.214,90,top
C7,134.990847,-106.074,90,top
C8,134.010847,-107.954,90,top
C9,132.780847,-109.394,0,top
E1,161.571847,-114.458,270,top
J1,128.587847,-115.863,270,bottom
L1,134.48,-110.22,90,bottom
L2,134.600847,-110.6765,270,top
L3,144.02,-102.825,270,bottom
L4,145.02,-101.855,270,bottom
L5,145.661847,-113.133,90,bottom
L6,152.171847,-109.388,0,top
Q1,150.441847,-114.5105,90,bottom
Q2,142.644347,-117.168,180,top
Q3,139.364347,-117.168,270,top
R1,134.471847,-101.758,0,top
R10,147.711847,-105.838,0,bottom
R11,131.651847,-106.988,0,top
R12,132.551847,-100.748,180,top
R14,145.091847,-117.938,270,top
R15,140.7394,-114.6048,0,top
R2,134.471847,-100.748,0,top
R3,150.671847,-106.538,270,top
R4,150.671847,-104.618,270,top
R5,136.031847,-113.488,0,bottom
R6,136.031847,-112.488,0,bottom
R7,140.511847,-116.458,0,bottom
R8,139.061847,-117.028,90,bottom
R9,144.481847,-106.058,0,bottom
U1,142.371847,-107.258,0,top
U2,139.791847,-112.765301,90,bottom
U3,131.091847,-103.428,-90,bottom
U4,130.741847,-103.508,90,top
U5,146.516847,-108.078,180,bottom
