Designator,Mid X,Mid Y,Rotation,Layer
C1,154.59,-78.874601,0.0,top
C2,154.59,-77.731601,0.0,top
C3,159.162,-78.867001,90.0,top
C4,165.766,-78.867001,90.0,top
C5,159.1917,-85.217001,180.0,top
C6,168.2576,-85.408001,180.0,top
C7,167.7496,-79.312001,90.0,top
D1,191.135,-91.694001,90.0,top
D2,187.833,-91.694001,90.0,top
D3,184.531,-91.694001,90.0,top
D4,181.229,-91.694001,90.0,top
D5,177.927,-91.694001,90.0,top
D6,174.625,-91.694001,90.0,top
D7,168.021,-91.694001,90.0,top
D8,171.323,-91.694001,90.0,top
F1,157.003,-78.867001,270.0,top
FB1,152.558,-78.747601,90.0,top
J1,148.07,-81.788001,270.0,top
R1,154.59,-80.017601,0.0,top
R2,152.939,-83.573601,0.0,top
R3,161.9505,-76.261001,180.0,top
R4,168.7656,-79.312001,270.0,top
SW1,154.559,-90.297001,270.0,top
SW2,161.163,-90.297001,90.0,top
TP1,169.672,-91.694001,180.0,bottom
TP2,166.37,-91.694001,180.0,bottom
TP3,172.974,-91.694001,180.0,bottom
TP4,176.276,-91.694001,180.0,bottom
TP5,179.578,-91.694001,180.0,bottom
TP6,182.88,-91.694001,180.0,bottom
TP7,186.182,-91.694001,180.0,bottom
TP8,189.484,-91.694001,180.0,bottom
TP9,192.786,-91.694001,180.0,bottom
U1,153.574,-81.795601,180.0,top
U2,162.464,-78.867001,0,top
U3,159.2425,-82.550001,270.0,top
U4,168.275,-82.550001,0,top
